ChipID,X_mm,Y_mm,Current_mA,OpticalOutput_mW,Voltage_V,Radius_mm,region
C0400,-4.37,15.35,20,2.854,2.273,15.959931077545416,Center
C0401,-22.02,47.84,20,2.368,2.408,52.66446619875683,Edge
C0402,43.29,-17.61,10,1.433,1.595,46.734742964950605,Edge
C0403,-18.56,-36.86,10,1.197,1.597,41.26903439626374,Edge
C0404,40.97,-32.75,30,3.373,2.602,52.45096185962656,Edge
C0405,-45.66,-46.78,10,0.699,1.618,65.3697483550304,Edge
C0406,20.71,32.39,20,1.708,2.095,38.44497626478653,Mid
C0407,-1.61,-42.38,20,2.541,2.108,42.41057061629801,Edge
C0408,-5.58,39.37,40,4.213,3.13,39.76346690116444,Mid
C0409,-46.37,-45.16,10,0.34,1.623,64.72713882136303,Edge
C0410,-45.93,31.33,20,1.341,2.404,55.597965790125805,Edge
C0411,-16.72,-30.42,20,0.543,2.096,34.71217077625656,Mid
C0412,44.71,-47.69,10,1.968,1.584,65.37063713931508,Edge
C0413,11.77,20.15,50,4.203,3.593,23.33571083125603,Mid
C0414,-13.11,-49.73,30,2.581,2.623,51.42902876780777,Edge
C0415,11.2,-20.23,40,2.953,3.089,23.123427514103525,Mid
C0416,-29.39,-44.29,10,1.386,1.611,53.154267937767706,Edge
C0417,-33.49,-37.86,30,1.871,2.579,50.54660918399968,Edge
C0418,-13.82,-37.46,20,2.951,2.099,39.92798517330921,Mid
C0419,36.34,22.32,20,2.941,2.105,42.647133549630276,Edge
C0420,0.94,47.22,40,,3.137,47.22935527825888,Edge
C0421,-20.31,-25.54,50,5.728,3.557,32.63108487316963,Mid
C0422,45.03,-10.11,30,3.004,2.612,46.1509804879593,Edge
C0423,31.6,-12.56,30,2.161,2.626,34.0046114519781,Mid
C0424,-17.7,-24.32,50,4.036,3.582,30.079102380224047,Mid
C0425,47.21,21.27,20,1.886,2.409,51.780276167668326,Edge
C0426,48.74,-22.87,40,3.455,3.076,53.838875359724966,Edge
C0427,-9.13,1.44,10,1.067,1.626,9.24286211083991,Center
C0428,15.59,-37.02,40,3.121,3.089,40.16875029173798,Edge
C0429,-9.43,34.8,20,2.824,2.089,36.0550260019321,Mid
C0430,-24.27,18.74,10,0.904,1.623,30.663015181159206,Mid
C0431,-41.73,3.88,10,0.411,1.612,41.9099904557374,Edge
C0432,-23.64,11.41,10,1.157,1.6,26.249527614797184,Mid
C0433,-22.85,-27.56,10,0.872,1.585,35.8005041863938,Mid
C0434,-10.14,34.41,10,1.665,1.613,35.8729382682824,Mid
C0435,-31.51,-37.76,30,3.688,2.591,49.180257217708814,Edge
C0436,45.38,38.12,30,3.933,2.621,59.2661691017734,Edge
C0437,-39.71,11.31,20,1.764,2.096,41.28922619764143,Edge
C0438,12.52,44.04,20,2.705,2.416,45.78506306646306,Edge
C0439,-5.83,-21.18,20,0.987,2.096,21.967733155699065,Mid
C0440,-7.65,43.54,40,4.312,3.084,44.20694628675453,Edge
C0441,-12.8,13.83,40,,3.066,18.844333365762772,Center
C0442,36.83,-49.0,10,,1.597,61.29803341054262,Edge
C0443,-21.95,-39.71,10,0.992,1.63,45.37275173493448,Edge
C0444,-47.94,9.29,30,3.178,2.611,48.83183080737399,Edge
C0445,41.81,-40.49,10,0.695,1.614,58.20237280386428,Edge
C0446,36.45,24.79,30,,2.599,44.08113655522053,Edge
C0447,-22.31,17.2,20,2.377,2.096,28.170482778965646,Mid
C0448,2.35,-31.27,40,4.419,3.144,31.3581791563222,Mid
C0449,-39.09,13.69,40,4.008,3.125,41.41792124189721,Edge
C0450,-40.66,6.67,30,2.609,2.588,41.203452525243556,Edge
C0451,33.75,-25.37,50,6.345,3.633,42.222025058019184,Edge
C0452,-8.97,20.76,30,2.608,2.605,22.615006080034558,Mid
C0453,16.17,-24.87,30,1.86,2.606,29.66455460646595,Mid
C0454,44.32,36.47,50,4.204,3.601,57.39619586697362,Edge
C0455,-25.49,-10.38,30,,2.59,27.52243630204274,Mid
C0456,-48.68,-0.47,20,2.83,2.392,48.682268846059344,Edge
C0457,-47.59,16.13,50,3.372,3.585,50.249228849804254,Edge
C0458,20.94,38.3,20,1.598,2.109,43.650585333990655,Edge
C0459,42.46,-4.38,50,5.051,3.601,42.68531363361408,Edge
C0460,-3.27,15.49,50,5.574,3.59,15.831392863548047,Center
C0461,-12.49,9.68,40,3.935,3.108,15.80197772432299,Center
C0462,4.29,-42.78,20,3.134,2.102,42.99456360983328,Edge
C0463,35.89,13.29,20,2.468,2.121,38.27161088849018,Mid
C0464,15.22,-45.36,30,3.5,2.651,47.84535505145719,Edge
C0465,-26.7,0.56,30,2.914,2.617,26.70587201347299,Mid
C0466,27.46,-39.35,20,2.179,2.414,47.984102575748985,Edge
C0467,-36.54,10.87,50,5.215,3.593,38.12254582264936,Mid
C0468,-33.44,22.1,10,1.058,1.601,40.08295897261079,Edge
C0469,11.27,28.58,30,,2.585,30.72180495999543,Mid
C0470,-26.12,9.0,40,4.211,3.112,27.62705919927056,Mid
C0471,20.48,48.93,30,,2.587,53.04314564578537,Edge
C0472,-15.05,-14.01,50,5.834,3.627,20.561677947093713,Mid
C0473,-22.26,-48.87,30,3.008,2.65,53.70087988105968,Edge
C0474,49.89,31.84,10,0.649,1.59,59.184437988376644,Edge
C0475,-45.94,-4.77,40,3.858,3.102,46.18697327169209,Edge
C0476,14.58,4.26,10,1.76,1.598,15.18960170643062,Center
C0477,-46.13,34.7,20,1.467,2.407,57.72405824264264,Edge
C0478,26.02,-23.8,40,3.329,3.102,35.263017454551445,Mid
C0479,-26.99,-17.33,40,,3.14,32.07474084073011,Mid
C0480,-41.02,-40.33,50,5.137,3.603,57.52520577972755,Edge
C0481,14.84,18.18,20,1.587,2.131,23.467807737409135,Mid
C0482,23.26,-28.7,10,-0.227,1.605,36.942084402480596,Mid
C0483,17.81,35.32,20,0.425,2.115,39.55627004660576,Mid
C0484,-44.81,11.03,40,4.248,3.079,46.147556815068775,Edge
C0485,-20.57,41.14,20,3.035,2.406,45.995918297170675,Edge
C0486,-4.89,-43.9,10,1.317,1.611,44.17150778499643,Edge
C0487,-21.29,49.17,20,,2.405,53.58127471421336,Edge
C0488,31.05,-10.22,50,6.537,3.573,32.68869682321399,Mid
C0489,-36.89,4.57,20,1.938,2.101,37.171992144624156,Mid
C0490,11.22,14.37,20,1.765,2.248,18.23143713479549,Center
C0491,48.82,-1.47,30,1.904,2.591,48.842126284591664,Edge
C0492,40.26,2.79,30,3.826,2.633,40.35655708803713,Edge
C0493,-27.78,-8.28,30,2.256,2.608,28.98770084018393,Mid
C0494,-49.99,-31.31,40,4.828,3.064,58.98572878247755,Edge
C0495,48.06,46.94,40,4.094,3.1,67.179812443918,Edge
C0496,38.27,30.11,10,1.16,1.586,48.69502027928524,Edge
C0497,41.95,9.79,10,1.618,1.602,43.077216716032154,Edge
C0498,-8.45,-44.34,40,2.75,3.117,45.13798954317749,Edge
C0499,24.46,39.47,10,1.97,1.562,46.434604553070116,Edge
C0500,-28.72,-42.26,10,1.388,1.578,51.095459680875756,Edge
C0501,-10.77,28.22,20,2.545,2.089,30.205319068005224,Mid
C0502,35.15,-44.12,40,2.901,3.11,56.410078000300615,Edge
C0503,-37.24,26.13,40,3.444,3.129,45.492796133014295,Edge
C0504,39.39,34.46,40,5.195,3.125,52.336065003016806,Edge
C0505,-0.35,-5.03,10,0.805,1.573,5.042162234597376,Center
C0506,-7.39,5.46,50,5.786,3.609,9.188237045266083,Center
C0507,-19.44,33.76,50,3.748,3.607,38.95704300893485,Mid
C0508,41.68,47.07,50,4.243,3.597,62.87135516274482,Edge
C0509,1.76,-48.22,40,4.45,3.113,48.25210876220852,Edge
C0510,30.4,-37.02,20,3.206,2.404,47.90240495006488,Edge
C0511,35.77,36.41,30,3.607,2.594,51.04097373679307,Edge
C0512,42.24,17.85,10,0.023,1.626,45.85673451086547,Edge
C0513,-19.66,-22.76,30,3.439,2.613,30.075458433746277,Mid
C0514,-16.02,-5.49,10,0.923,1.549,16.934594769288104,Center
C0515,9.51,-38.88,40,4.09,3.101,40.026172687380445,Edge
C0516,-5.87,-47.13,30,3.524,2.579,47.49414490229296,Edge
C0517,43.28,23.2,20,2.033,2.409,49.10599148780116,Edge
C0518,-10.24,22.41,40,4.385,3.119,24.638703293801807,Mid
C0519,-2.22,19.43,50,4.954,3.595,19.55641327033155,Center
C0520,11.72,38.45,30,3.491,2.62,40.196528457069526,Edge
C0521,-9.53,-21.34,20,1.844,2.092,23.371275104281324,Mid
C0522,49.25,-7.64,40,3.661,3.118,49.83906198956798,Edge
C0523,-40.11,-24.94,40,5.095,3.107,47.231511726812215,Edge
C0524,-27.94,12.53,10,0.357,1.615,30.62098136898947,Mid
C0525,-17.73,13.7,20,2.3,2.103,22.40631384230793,Mid
C0526,-35.23,-9.22,50,5.175,3.607,36.41649763500054,Mid
C0527,-21.58,43.51,50,5.521,3.584,48.56764869746115,Edge
C0528,27.92,-1.15,40,3.737,3.091,27.943673702646905,Mid
C0529,2.29,41.76,10,0.653,1.594,41.822741421384606,Edge
C0530,-46.6,23.05,20,1.242,2.408,51.989061349480046,Edge
C0531,48.26,43.87,10,1.184,1.591,65.2196634459271,Edge
C0532,11.6,25.77,40,4.89,3.101,28.260447625612727,Mid
C0533,-44.11,-27.53,20,3.091,2.418,51.996086391189095,Edge
C0534,16.12,18.97,40,2.246,3.084,24.89408162596082,Mid
C0535,-12.16,-26.16,30,3.781,2.593,28.84807099270244,Mid
C0536,-36.43,-20.94,50,5.34,3.603,42.0193824323966,Edge
C0537,6.37,-27.86,10,1.407,1.627,28.578952045167785,Mid
C0538,22.71,-0.36,20,3.055,2.094,22.712853189328722,Mid
C0539,17.11,-6.6,30,3.51,2.623,18.338814029265905,Center
C0540,-25.25,40.71,30,2.2,2.578,47.90476594244043,Edge
C0541,2.49,9.31,20,2.052,2.238,9.637229892453536,Center
C0542,3.77,-14.02,40,3.658,3.107,14.518033613406464,Center
C0543,21.68,12.34,40,3.447,3.111,24.94590146697449,Mid
C0544,-14.01,-15.85,40,3.487,3.081,21.15425725474662,Mid
C0545,29.77,33.63,40,4.285,3.078,44.913581464853145,Edge
C0546,12.79,-41.09,30,3.654,2.638,43.034546587596346,Edge
C0547,-46.17,-28.13,40,4.043,3.103,54.06445967546517,Edge
C0548,4.65,-40.59,20,2.452,2.109,40.85548433197189,Edge
C0549,36.19,36.72,30,3.642,2.611,51.556517531734045,Edge
C0550,6.76,-22.79,40,4.483,3.127,23.77144715830317,Mid
C0551,-32.42,49.47,40,3.437,3.125,59.146743781885405,Edge
C0552,1.04,-34.81,20,1.981,2.102,34.82553230031093,Mid
C0553,25.69,-17.58,30,2.436,2.586,31.12928685337973,Mid
C0554,-38.99,39.33,30,4.133,2.584,55.38112494343177,Edge
C0555,31.71,13.54,30,3.377,2.606,34.479786832287694,Mid
C0556,-33.25,-0.52,10,2.371,1.599,33.25406591681685,Mid
C0557,3.41,-33.62,30,4.407,2.576,33.79249176962243,Mid
C0558,-11.43,29.09,50,5.763,3.586,31.25496760516638,Mid
C0559,-25.14,-16.7,30,2.789,2.588,30.181278965610456,Mid
C0560,14.74,25.31,50,4.791,3.573,29.28931033670817,Mid
C0561,-46.26,8.28,30,2.224,2.626,46.99516996458253,Edge
C0562,26.0,11.67,20,1.379,2.102,28.498928050016197,Mid
C0563,2.69,-17.47,50,4.436,3.592,17.675887530757826,Center
C0564,37.58,-42.5,10,1.844,1.628,56.73188168922304,Edge
C0565,2.07,9.53,30,2.217,2.572,9.752220260022842,Center
C0566,-46.5,24.35,20,1.856,2.394,52.48973709212116,Edge
C0567,-35.64,7.61,30,3.462,2.629,36.443404067128526,Mid
C0568,29.56,10.12,50,5.763,3.615,31.244327485161207,Mid
C0569,-0.8,19.74,40,3.314,3.144,19.756204088842573,Center
C0570,-5.81,-45.52,20,1.476,2.388,45.88928524176423,Edge
C0571,-18.16,-27.63,50,5.09,3.593,33.0636129302289,Mid
C0572,-21.55,11.39,10,1.175,1.601,24.374876409943088,Mid
C0573,46.59,-36.44,10,0.787,1.604,59.14813352930082,Edge
C0574,-6.7,-22.97,30,2.577,2.584,23.927200003343472,Mid
C0575,38.4,-45.5,20,1.925,2.384,59.53830699642038,Edge
C0576,14.82,-28.47,20,2.265,2.108,32.09631287235342,Mid
C0577,35.84,-48.84,50,4.193,3.589,60.57929679354161,Edge
C0578,35.24,31.83,50,5.182,3.571,47.486908722299454,Edge
C0579,45.63,8.78,10,0.538,1.63,46.46703455138923,Edge
C0580,19.79,4.67,20,1.927,2.082,20.333543714758626,Mid
C0581,30.54,-49.44,10,0.421,1.593,58.112005644272855,Edge
C0582,23.31,35.01,40,3.997,3.071,42.06014978575326,Edge
C0583,10.52,-49.99,20,1.258,2.391,51.08493417828783,Edge
C0584,21.74,28.73,20,2.663,2.09,36.02832913139326,Mid
C0585,21.58,-28.1,20,2.71,2.105,35.43030341388569,Mid
C0586,-45.91,32.02,10,-0.216,1.601,55.97328380575862,Edge
C0587,1.61,-37.09,40,3.654,3.122,37.124926935955045,Mid
C0588,29.27,4.73,30,2.023,2.619,29.649718379775546,Mid
C0589,-25.7,-47.05,30,2.415,2.596,53.61149596868194,Edge
C0590,-3.49,5.47,10,0.958,1.618,6.488528338537176,Center
C0591,-6.5,-36.7,50,5.027,3.606,37.27116848181715,Mid
C0592,-9.72,30.61,20,1.599,2.096,32.116203075706196,Mid
C0593,-37.82,-26.38,20,1.693,2.402,46.11135218143142,Edge
C0594,2.57,-38.41,50,4.768,3.598,38.49588289674624,Mid
C0595,-5.38,-46.96,20,1.794,2.398,47.26717677204764,Edge
C0596,16.34,7.41,50,4.764,3.602,17.9416749496807,Center
C0597,4.94,16.2,30,2.978,2.6,16.936457717008004,Center
C0598,-47.25,39.48,10,0.726,1.66,61.57298839588672,Edge
C0599,-46.81,-43.82,50,4.67,3.593,64.11995399249753,Edge
C0600,20.14,-10.81,50,5.056,3.618,22.857727358598012,Mid
C0601,20.76,-33.69,10,1.417,1.586,39.572638274444124,Mid
C0602,45.99,0.22,50,5.875,3.606,45.990526198337854,Edge
C0603,37.67,-26.16,30,3.229,2.579,45.86256098387878,Edge
C0604,-3.19,-8.9,50,4.658,3.614,9.454422245700686,Center
C0605,12.59,-13.14,50,5.151,3.59,18.19801362786609,Center
C0606,-4.28,19.0,10,-0.074,1.59,19.47609817186184,Center
C0607,-27.71,24.19,40,2.806,3.096,36.78315103413518,Mid
C0608,-12.33,-7.53,40,4.319,3.083,14.447484210062319,Center
C0609,-39.61,-25.6,10,0.912,1.644,47.162613371186296,Edge
C0610,16.65,29.47,40,3.451,3.129,33.848240722377284,Mid
C0611,-30.8,34.8,40,3.721,3.124,46.47235737511063,Edge
C0612,-2.45,4.0,10,0.205,1.632,4.690682253148256,Center
C0613,46.74,-25.04,10,1.143,1.598,53.024797972269546,Edge
C0614,-46.83,28.39,50,5.869,3.629,54.76350061856893,Edge
C0615,-34.83,-14.4,10,1.982,1.595,37.68937383401321,Mid
C0616,-20.14,41.87,10,1.784,1.575,46.46198984115941,Edge
C0617,44.18,-23.33,20,2.624,2.394,49.96159825305831,Edge
C0618,40.88,44.03,50,5.25,3.654,60.08173849016022,Edge
C0619,-33.8,-7.21,10,1.706,1.593,34.560441258757095,Mid
C0620,48.11,25.33,10,0.689,1.59,54.370773398950284,Edge
C0621,25.07,-29.11,50,4.432,3.572,38.41740490975412,Mid
C0622,4.0,12.48,50,5.024,3.63,13.105357683024145,Center
C0623,43.17,8.22,50,4.415,3.597,43.94561752894138,Edge
C0624,38.06,-7.97,10,0.609,1.611,38.88553072802273,Mid
C0625,-10.87,23.54,10,1.1,1.603,25.928526761079194,Mid
C0626,15.63,31.8,30,4.411,2.608,35.43355612974797,Mid
C0627,14.74,22.73,50,5.354,3.613,27.090967129284994,Mid
C0628,-17.3,31.31,30,2.688,2.605,35.77158229656608,Mid
C0629,-32.06,24.52,20,2.013,2.092,40.36178886025742,Edge
C0630,-3.32,-35.04,30,,2.596,35.19693168445227,Mid
C0631,-23.67,27.24,50,5.229,3.602,36.087206874458985,Mid
C0632,-14.49,-30.93,50,5.783,3.608,34.1558926102071,Mid
C0633,45.41,-40.08,50,5.127,3.602,60.56793293484597,Edge
C0634,-3.89,40.16,50,4.191,3.575,40.347957816970116,Edge
C0635,18.49,9.82,10,0.264,1.603,20.935914119044337,Mid
C0636,-16.38,-32.35,40,4.021,3.119,36.26054191542096,Mid
C0637,49.59,13.62,10,-0.265,1.586,51.42637941757129,Edge
C0638,15.88,-16.72,50,5.219,3.577,23.05933216725931,Mid
C0639,-30.4,-35.85,20,1.943,2.41,47.00406897280277,Edge
C0640,-40.18,29.95,10,0.794,1.592,50.11421854124835,Edge
C0641,44.32,-39.0,50,4.769,3.573,59.03611098302462,Edge
C0642,44.48,46.25,10,2.267,1.592,64.1680052674228,Edge
C0643,12.13,27.19,10,1.541,1.594,29.77302470358025,Mid
C0644,-48.3,21.22,40,3.418,3.099,52.755837591682685,Edge
C0645,-27.45,-26.09,20,0.524,2.084,37.87070899785215,Mid
C0646,30.13,25.96,40,3.434,3.115,39.771076173520875,Mid
C0647,37.55,-47.75,50,,3.594,60.74590521179184,Edge
C0648,-4.6,5.39,40,3.352,3.087,7.086049675242193,Center
C0649,-13.45,-18.93,10,0.462,1.61,23.221701057416098,Mid
C0650,-22.58,33.23,20,2.488,2.104,40.17573023605171,Edge
C0651,-38.3,26.13,30,2.308,2.625,46.36450042866848,Edge
C0652,-38.43,-1.22,40,4.514,3.086,38.44936020273939,Mid
C0653,45.26,-2.76,40,4.043,3.104,45.34407568801023,Edge
C0654,30.86,-42.68,10,0.932,1.617,52.66803584718154,Edge
C0655,-33.52,-26.53,30,2.252,2.619,42.74846546953469,Edge
C0656,-29.29,20.72,40,4.158,3.091,35.87788315940615,Mid
C0657,15.56,-43.44,10,1.47,1.61,46.142683060264275,Edge
C0658,26.47,28.73,40,2.026,3.104,39.06499456034776,Mid
C0659,31.03,47.96,10,1.381,1.599,57.12287195160972,Edge
C0660,-33.67,-42.09,10,2.341,1.614,53.90025046323996,Edge
C0661,48.41,-4.21,20,1.95,2.381,48.592717561379494,Edge
C0662,-27.22,7.9,40,2.983,3.08,28.34322494000991,Mid
C0663,8.94,31.29,40,4.416,3.079,32.54209120508391,Mid
C0664,8.76,-34.99,10,0.764,1.604,36.06990019392901,Mid
C0665,46.74,-13.99,40,4.233,3.115,48.78880711802657,Edge
C0666,15.77,33.56,50,4.008,3.632,37.08054071881909,Mid
C0667,8.49,1.82,50,4.438,3.631,8.682885465097417,Center
C0668,1.88,-33.65,30,3.637,2.601,33.70247617015699,Mid
C0669,26.47,36.94,50,5.053,3.611,45.44474116990875,Edge
C0670,-39.39,43.61,40,3.653,3.109,58.76567195225457,Edge
C0671,-49.79,23.97,10,0.817,1.574,55.259433583778254,Edge
C0672,45.25,47.37,10,1.136,1.651,65.50938406060615,Edge
C0673,-0.13,42.65,30,2.597,2.597,42.650198123807115,Edge
C0674,-17.17,-37.86,40,,3.126,41.571486622443516,Edge
C0675,-13.19,-9.07,40,4.404,3.127,16.00752947834237,Center
C0676,30.38,9.69,30,2.555,2.601,31.88793659050394,Mid
C0677,-11.76,23.24,10,0.577,1.605,26.04602080932901,Mid
C0678,27.02,3.51,50,4.962,3.571,27.247027360796626,Mid
C0679,-5.95,14.92,20,2.101,2.244,16.06265544671864,Center
C0680,34.41,-38.32,40,3.912,3.092,51.502140732206456,Edge
C0681,-42.38,-9.37,20,2.322,2.105,43.40347105935193,Edge
C0682,-1.89,-49.31,10,1.535,1.569,49.34620755438051,Edge
C0683,-3.32,15.18,40,5.015,3.099,15.538815913704623,Center
C0684,-23.57,-33.55,40,4.351,3.103,41.00179752157214,Edge
C0685,44.36,-9.6,20,1.733,2.376,45.3868879743919,Edge
C0686,40.5,-0.14,30,1.942,2.582,40.500241974585784,Edge
C0687,-5.64,16.64,10,0.856,1.553,17.569837790941612,Center
C0688,-40.28,26.32,30,2.437,2.598,48.1167413692989,Edge
C0689,-29.32,21.51,10,1.956,1.606,36.36402755471401,Mid
C0690,-22.85,6.78,30,2.199,2.582,23.834657538970433,Mid
C0691,-1.58,2.88,30,2.169,2.595,3.284935311387425,Center
C0692,-16.16,35.69,30,2.597,2.599,39.17807677770822,Mid
C0693,27.41,36.68,50,3.763,3.618,45.790069884200875,Edge
C0694,-2.4,-43.81,20,0.761,2.094,43.8756891683766,Edge
C0695,37.04,-22.99,20,1.965,2.091,43.59474394924232,Edge
C0696,49.58,42.17,20,1.537,2.405,65.08828850108137,Edge
C0697,-28.02,9.27,10,1.222,1.594,29.51361211373491,Mid
C0698,11.17,-36.53,10,1.541,1.624,38.19960470999668,Mid
C0699,34.75,-42.89,10,1.613,1.617,55.20067572050183,Edge
C0700,44.52,-40.56,40,3.168,3.067,60.2257752129435,Edge
C0701,-20.99,26.98,50,4.816,3.585,34.18333658378011,Mid
C0702,22.7,-27.8,40,4.186,3.067,35.89052799834519,Mid
C0703,-48.5,-25.7,20,1.079,2.414,54.88843229679638,Edge
C0704,37.91,-36.94,30,2.871,2.591,52.93138671903466,Edge
C0705,-43.61,9.97,50,4.767,3.639,44.73514278506329,Edge
C0706,23.34,1.39,40,3.338,3.106,23.38135368194066,Mid
C0707,49.46,-21.85,40,4.349,3.126,54.07137967538835,Edge
C0708,0.12,15.81,40,4.586,3.111,15.810455401410803,Center
C0709,-29.07,27.78,40,4.469,3.076,40.20936831137739,Edge
C0710,9.46,47.96,20,1.321,2.406,48.884079207856615,Edge
C0711,12.41,-2.13,40,2.823,3.126,12.591465363491258,Center
C0712,16.81,-8.7,10,1.042,1.605,18.927918533214367,Center
C0713,-32.74,-20.78,40,4.74,3.104,38.77777714103789,Mid
C0714,39.87,28.46,10,0.453,1.615,48.98559482133498,Edge
C0715,12.1,47.22,30,3.121,2.58,48.745650062338896,Edge
C0716,-45.64,10.04,50,5.09,3.622,46.73126576501004,Edge
C0717,18.4,14.23,40,3.613,3.128,23.260543845748746,Mid
C0718,-30.39,18.91,30,3.22,2.597,35.793018872400246,Mid
C0719,-47.27,-7.67,50,5.228,3.616,47.888221933999596,Edge
C0720,5.1,-27.97,40,3.243,3.103,28.43116072199656,Mid
C0721,31.33,-24.39,30,2.657,2.593,39.70442040881594,Mid
C0722,35.99,11.72,10,0.635,1.601,37.85021136004395,Mid
C0723,-39.65,13.76,40,5.131,3.101,41.96975220322369,Edge
C0724,16.3,-3.81,30,3.352,2.588,16.739357813249587,Center
C0725,21.01,-45.67,30,2.482,2.574,50.27095582938522,Edge
C0726,-20.55,37.72,20,1.215,2.114,42.95463770071865,Edge
C0727,47.14,-25.57,40,5.462,3.13,53.628392666571685,Edge
C0728,-22.13,8.1,40,3.834,3.08,23.565799371122548,Mid
C0729,-43.0,23.87,30,4.501,2.595,49.181062412274095,Edge
C0730,1.93,-31.57,50,4.932,3.626,31.628939280348938,Mid
C0731,19.43,-2.67,40,1.864,3.101,19.612592893342786,Center
C0732,-25.53,-49.87,40,2.041,3.123,56.02497478803538,Edge
C0733,-16.14,-45.26,40,,3.116,48.05171380918687,Edge
C0734,6.36,-24.95,20,0.956,2.076,25.747856221441037,Mid
C0735,38.67,15.87,30,2.985,2.584,41.79983014319556,Edge
C0736,24.73,38.67,10,0.829,1.6,45.90143570739373,Edge
C0737,-29.04,-7.55,30,3.094,2.588,30.00540118045416,Mid
C0738,-24.82,-47.5,10,1.895,1.588,53.59367873173104,Edge
C0739,2.39,-20.73,20,0.326,2.096,20.867318946141598,Mid
C0740,26.9,45.7,20,,2.399,53.029237218726806,Edge
C0741,11.88,-38.88,40,3.418,3.075,40.65450528539242,Edge
C0742,0.13,25.57,30,3.002,2.647,25.570330463253697,Mid
C0743,9.71,24.73,10,1.595,1.597,26.567969436899013,Mid
C0744,25.61,8.99,30,3.499,2.59,27.142074349614475,Mid
C0745,3.71,43.09,20,2.337,2.085,43.24941849320058,Edge
C0746,39.78,14.22,50,5.343,3.62,42.24519854373985,Edge
C0747,44.71,46.65,30,3.233,2.604,64.61583861562117,Edge
C0748,41.54,32.61,20,2.829,2.403,52.810829381860685,Edge
C0749,25.45,29.4,20,3.305,2.086,38.885247845423336,Mid
C0750,-25.37,45.11,50,4.268,3.558,51.75470026963735,Edge
C0751,-11.47,11.7,50,4.747,3.613,16.38447130669769,Center
C0752,-22.0,-17.77,10,1.709,1.565,28.280256363760213,Mid
C0753,15.77,-39.63,40,3.373,3.077,42.65243017695475,Edge
C0754,-17.58,19.43,20,2.568,2.094,26.202696426131414,Mid
C0755,25.44,2.33,10,0.344,1.614,25.54647725225535,Mid
C0756,-38.65,-11.46,50,5.244,3.609,40.31320007144062,Edge
C0757,27.54,44.97,30,3.702,2.572,52.73284081101643,Edge
C0758,8.59,41.24,30,4.21,2.594,42.1251195844,Edge
C0759,33.54,-12.21,40,3.877,3.127,35.69335652470919,Mid
C0760,-6.91,44.55,10,0.831,1.606,45.082708436827524,Edge
C0761,12.5,-6.8,30,4.12,2.584,14.229898102235307,Center
C0762,5.44,-29.39,50,5.443,3.589,29.88922381059769,Mid
C0763,47.57,12.07,10,0.212,1.609,49.077385830950696,Edge
C0764,25.55,-40.58,20,1.762,2.407,47.95350769234717,Edge
C0765,4.48,-34.73,50,5.463,3.625,35.01775692416634,Mid
C0766,-32.6,31.43,10,0.454,1.605,45.28360520099962,Edge
C0767,40.41,31.91,50,3.198,3.582,51.48996212855472,Edge
C0768,-29.42,-25.94,50,5.573,3.621,39.22269751049767,Mid
C0769,15.0,24.69,50,5.261,3.616,28.889376940321853,Mid
C0770,43.65,47.36,10,0.339,1.639,64.4072363946785,Edge
C0771,-27.64,45.78,10,1.598,1.621,53.47689220588646,Edge
C0772,-27.41,-5.55,20,2.123,2.111,27.966240362265356,Mid
C0773,35.18,36.39,30,3.745,2.617,50.61486441748115,Edge
C0774,32.77,5.71,40,4.354,3.082,33.263749037052335,Mid
C0775,-14.83,6.48,10,0.081,1.596,16.183921032926477,Center
C0776,-23.49,-26.07,40,4.67,3.117,35.091665677194634,Mid
C0777,-37.26,-11.58,20,1.827,2.089,39.017995848069894,Mid
C0778,48.79,-28.51,40,3.732,3.095,56.50915147124402,Edge
C0779,33.53,24.25,50,5.278,3.589,41.38022957887015,Edge
C0780,39.94,14.06,40,3.146,3.09,42.3424987453504,Edge
C0781,1.37,30.45,20,2.176,2.095,30.480803795175742,Mid
C0782,-38.56,11.99,30,3.851,2.581,40.38110573027935,Edge
C0783,-44.74,-22.28,10,-0.171,1.578,49.98065625819653,Edge
C0784,-16.94,45.25,10,0.585,1.581,48.316933884508856,Edge
C0785,42.03,15.07,40,2.608,3.128,44.65003695407206,Edge
C0786,44.76,-2.37,30,,2.591,44.82270072184406,Edge
C0787,34.12,27.76,40,3.186,3.107,43.986270585263306,Edge
C0788,-34.13,-24.54,40,4.515,3.118,42.0365138897126,Edge
C0789,-8.01,31.08,30,3.125,2.593,32.0955838083684,Mid
C0790,-25.38,-16.17,50,,3.63,30.09340957751381,Mid
C0791,-29.47,-42.53,40,3.881,3.089,51.74245645502347,Edge
C0792,18.48,28.29,20,,2.097,33.79104171226451,Mid
C0793,-1.39,-30.9,30,3.15,2.623,30.93124795413208,Mid
C0794,-17.51,14.43,20,1.932,2.093,22.68975539753569,Mid
C0795,-39.98,-23.02,30,2.532,2.615,46.13372735862559,Edge
C0796,4.48,18.54,30,2.862,2.611,19.07359431255682,Center
C0797,-15.3,-37.39,30,3.139,2.588,40.399283409486365,Edge
C0798,-10.89,12.39,20,2.24,2.249,16.495581226498203,Center
C0799,-18.95,-30.8,10,0.512,1.598,36.16272251919095,Mid
C0800,-11.28,0.34,50,5.084,3.597,11.2851229501499,Center
